actor_id,serie_id,personaje,protagonista,temporadas
act_0321,ser_0001,Rebelde,True,1|2|3|4|6|8
act_0163,ser_0001,Protagonista A,True,2|3|4|5|7|8
act_0116,ser_0001,Rebelde,False,2|5|7|8
act_0132,ser_0001,Hijo/a,False,2|4|5
act_0181,ser_0001,Espía,False,6
act_0657,ser_0001,Protagonista B,False,2|5
act_0097,ser_0001,Hijo/a,False,1|2|3|4|5|7|8
act_0310,ser_0002,Amigo/a,True,2|4|5|6|7|8|10
act_0616,ser_0002,Médico,True,2|3|4|5|7|8|10
act_0779,ser_0002,Médico,False,11
act_0453,ser_0003,Soldado,True,1|4|5|7|8
act_0266,ser_0003,Espía,True,1|2|5|6
act_0097,ser_0003,Detective,False,1|2|3|4|5|7|8|9
act_0752,ser_0003,Profesor,False,2|3|4|5|6|7|8|9
act_0161,ser_0003,Detective,False,1|2|3|4|5|6|7|8|9
act_0664,ser_0004,Profesor,True,1
act_0039,ser_0004,Espía,True,2
act_0594,ser_0004,Mentor,False,3|4
act_0050,ser_0004,Protagonista A,False,1|2|3|4|5
act_0749,ser_0005,Hijo/a,True,1|2|4|5|6
act_0667,ser_0005,Rebelde,True,1|2|3|4|5|6
act_0102,ser_0005,Médico,False,2|6
act_0008,ser_0005,Profesor,False,1|3|4|6
act_0032,ser_0006,Líder,True,1
act_0797,ser_0006,Amigo/a,True,1
act_0220,ser_0006,Antagonista Principal,False,1
act_0095,ser_0006,Protagonista B,False,1
act_0323,ser_0007,Líder,True,1|5|8
act_0611,ser_0007,Médico,True,6|10
act_0767,ser_0007,Rebelde,False,12
act_0463,ser_0008,Rebelde,True,1|2|4|5|6|9|10|11
act_0192,ser_0008,Mentor,True,2|8|10
act_0538,ser_0008,Soldado,False,7
act_0349,ser_0008,Padre/Madre,False,2|4|6|7|8|9|10
act_0663,ser_0008,Amigo/a,False,1|2|3|4|5|6|8|9|10|11
act_0683,ser_0008,Amigo/a,False,1|2|3|4|5|6|7|8|9|10|11
act_0308,ser_0008,Líder,False,9|10|11
act_0780,ser_0008,Padre/Madre,False,2|9
act_0562,ser_0009,Protagonista B,True,4|5|6|10
act_0722,ser_0009,Espía,True,10
act_0796,ser_0009,Mentor,False,9
act_0182,ser_0009,Médico,False,2|3|4|5|6|7|8|9|10|11|12
act_0392,ser_0009,Mentor,False,1|4|10|12
act_0617,ser_0009,Protagonista A,False,2|3|4|7|9|10
act_0147,ser_0009,Soldado,False,1|2|4|5|6|7|8|10|11|12
act_0299,ser_0009,Médico,False,2|3|4|5|7|8|9|10|11
act_0650,ser_0010,Profesor,True,1
act_0069,ser_0010,Protagonista A,True,1
act_0711,ser_0010,Profesor,False,1
act_0327,ser_0010,Mentor,False,1
act_0674,ser_0010,Protagonista B,False,1
act_0467,ser_0010,Protagonista B,False,1
act_0723,ser_0010,Protagonista B,False,1
act_0358,ser_0010,Rebelde,False,1
act_0556,ser_0011,Soldado,True,8
act_0418,ser_0011,Protagonista B,True,1|2|3|4|5|6|7|8
act_0125,ser_0011,Padre/Madre,False,1|3|4|5|6|7
act_0770,ser_0012,Profesor,True,5|6|7|8|9|11
act_0028,ser_0012,Hijo/a,True,2|3|4|5|6|7|8|9|10|11
act_0093,ser_0012,Profesor,False,1|4|5|6|8|9|11
act_0465,ser_0012,Hijo/a,False,1|4|6|7|8
act_0443,ser_0012,Padre/Madre,False,1|2|3|5|7|8|10|11
act_0280,ser_0013,Antagonista Principal,True,3|6|7|8|9|10
act_0403,ser_0013,Padre/Madre,True,1|2|3|4|5|6|7|8|9|10|11
act_0502,ser_0013,Detective,False,2|4|5|8
act_0384,ser_0013,Espía,False,1|2|3|4|5|6|7|8|9|10|11
act_0416,ser_0013,Soldado,False,1|2|5|8
act_0686,ser_0013,Rebelde,False,2|3|4|5|9
act_0175,ser_0013,Protagonista B,False,1|2|3|4|5|8|9|10|11
act_0435,ser_0014,Profesor,True,1|2|4|5|9
act_0431,ser_0014,Protagonista A,True,3|8
act_0558,ser_0014,Rebelde,False,3|8|10
act_0689,ser_0015,Soldado,True,4
act_0362,ser_0015,Mentor,True,1|2|3|4|5|6|7|8|9
act_0594,ser_0015,Protagonista B,False,1|3|6|8
act_0422,ser_0015,Detective,False,1|2|3|4|5|6|7|8|9
act_0043,ser_0015,Padre/Madre,False,1|8|9
act_0129,ser_0015,Espía,False,1|2|3|4|5|6|7|8|9
act_0294,ser_0015,Mentor,False,1|2|3|4
act_0370,ser_0015,Soldado,False,1|2|3|4|5|6|7|9
act_0494,ser_0016,Médico,True,3|6
act_0490,ser_0016,Profesor,True,1|2|3|5|6|7
act_0722,ser_0016,Hijo/a,False,1|3|4|5|7
act_0012,ser_0017,Hijo/a,True,2|3|4
act_0383,ser_0017,Detective,True,1
act_0049,ser_0017,Protagonista A,False,1|3|4
act_0523,ser_0018,Protagonista A,True,1|2|4|6
act_0389,ser_0018,Médico,True,1|2|3|4|6
act_0051,ser_0018,Hijo/a,False,1|2|3|4|5|6
act_0463,ser_0018,Detective,False,1|2|4|5|6
act_0382,ser_0018,Médico,False,1|2|4
act_0154,ser_0018,Detective,False,2|3|4
act_0390,ser_0019,Líder,True,1|2|3|4|5
act_0557,ser_0019,Antagonista Principal,True,2|4|5
act_0545,ser_0019,Detective,False,3
act_0770,ser_0019,Antagonista Principal,False,1|4|5
act_0397,ser_0019,Espía,False,2|4|5
act_0223,ser_0019,Rebelde,False,3|4|5
act_0789,ser_0020,Antagonista Principal,True,2|4|5|6
act_0693,ser_0020,Antagonista Principal,True,1|3|5|6
act_0580,ser_0020,Soldado,False,4|5|6
act_0724,ser_0020,Médico,False,2|3|6
act_0387,ser_0020,Líder,False,1|2|3|4|5
act_0286,ser_0020,Mentor,False,3
act_0567,ser_0021,Amigo/a,True,8
act_0713,ser_0021,Profesor,True,5
act_0587,ser_0021,Espía,False,2|3|4|5|6|7|8|9
act_0795,ser_0021,Soldado,False,1|2|4|6|7|8
act_0319,ser_0021,Espía,False,1|3|5|6|7
act_0190,ser_0021,Hijo/a,False,1|3|4|5|6|9
act_0768,ser_0022,Líder,True,1
act_0775,ser_0022,Antagonista Principal,True,1
act_0226,ser_0022,Protagonista A,False,1
act_0616,ser_0022,Soldado,False,1
act_0709,ser_0023,Líder,True,1
act_0139,ser_0023,Protagonista A,True,1|2|3|5|6|7|8|9|10|11
act_0335,ser_0023,Antagonista Principal,False,1|2|3|4|6|7|9|10|11
act_0547,ser_0023,Detective,False,6|7|10
act_0152,ser_0023,Hijo/a,False,4|5|6|7|8|10
act_0476,ser_0023,Amigo/a,False,1|2|4|5|6|7|8|9|10|11
act_0234,ser_0023,Médico,False,6|8|10|11
act_0261,ser_0023,Líder,False,1|3|4|5|6|8|9|11
act_0030,ser_0024,Profesor,True,1|2|3|4|5|6|7
act_0625,ser_0024,Médico,True,2|3|4|6
act_0020,ser_0024,Rebelde,False,1|2|3|4|5|6|7
act_0554,ser_0024,Protagonista B,False,3|4|5|6|7
act_0221,ser_0024,Espía,False,1|2|3|4|5|6|7
act_0387,ser_0024,Médico,False,1|2|3|4|6|7
act_0174,ser_0024,Protagonista A,False,1|5
act_0771,ser_0024,Rebelde,False,2|3|4|5|6
act_0475,ser_0025,Detective,True,6|7
act_0562,ser_0025,Líder,True,6
act_0666,ser_0025,Líder,False,1|2|3|5|6|7
act_0085,ser_0025,Líder,False,1|2|3|5|7
act_0112,ser_0025,Soldado,False,5
act_0480,ser_0025,Líder,False,1|3|5|6|7
act_0445,ser_0026,Soldado,True,1|2
act_0403,ser_0026,Profesor,True,2|3
act_0320,ser_0026,Líder,False,1|3|4
act_0186,ser_0026,Protagonista B,False,1|2|3|4
act_0454,ser_0026,Mentor,False,1
