usuario_id,serie_id,fechaAgregado,prioridad,notificaciones
usr_0001,ser_0003,2024-07-31,5,True
usr_0001,ser_1416,2024-12-11,3,False
usr_0001,ser_2336,2024-06-07,4,True
usr_0002,ser_1521,2024-09-06,4,False
usr_0002,ser_2105,2024-01-22,4,True
usr_0002,ser_2274,2025-01-23,4,False
usr_0002,ser_0169,2024-05-25,4,False
usr_0003,ser_0093,2024-10-14,4,False
usr_0003,ser_0870,2025-04-05,3,True
usr_0003,ser_2040,2024-11-16,1,False
usr_0003,ser_1079,2024-11-09,2,False
usr_0003,ser_2209,2024-07-08,1,False
usr_0004,ser_0467,2025-04-05,4,True
usr_0004,ser_1876,2024-10-25,5,False
usr_0005,ser_1675,2024-10-13,4,False
usr_0005,ser_2710,2024-10-26,1,True
usr_0005,ser_2188,2024-06-22,1,False
usr_0005,ser_2620,2024-09-22,4,False
usr_0005,ser_3000,2024-09-02,3,False
usr_0005,ser_1399,2024-02-29,2,False
usr_0006,ser_0373,2024-07-11,1,False
usr_0006,ser_2619,2024-07-28,3,False
usr_0006,ser_2122,2024-03-28,2,False
usr_0006,ser_0253,2024-05-05,1,True
usr_0006,ser_1026,2024-11-19,1,True
usr_0006,ser_2972,2024-06-06,2,False
usr_0006,ser_1734,2024-02-03,2,True
usr_0006,ser_1572,2024-05-03,4,True
usr_0007,ser_0097,2024-09-03,4,False
usr_0007,ser_2910,2025-04-26,5,False
usr_0007,ser_0504,2024-05-23,1,True
usr_0008,ser_1788,2025-02-13,3,False
usr_0008,ser_2478,2024-10-01,2,True
usr_0009,ser_0044,2024-09-24,4,True
usr_0009,ser_0659,2024-09-29,1,False
usr_0009,ser_0006,2024-04-02,5,False
usr_0009,ser_0244,2024-01-24,3,False
usr_0009,ser_2221,2025-04-06,1,False
usr_0009,ser_2145,2024-06-17,3,False
usr_0009,ser_0623,2024-09-06,3,False
usr_0010,ser_2819,2025-01-29,1,False
usr_0010,ser_1069,2025-01-03,3,False
usr_0010,ser_1829,2024-09-27,5,True
usr_0010,ser_2473,2024-08-10,2,True
usr_0010,ser_0718,2024-07-29,5,True
usr_0010,ser_1507,2025-03-25,4,True
usr_0010,ser_1860,2024-04-02,2,False
usr_0010,ser_1130,2025-03-15,2,False
usr_0011,ser_0608,2025-02-15,3,False
usr_0011,ser_2089,2024-03-15,5,True
usr_0011,ser_2644,2024-11-26,4,False
usr_0011,ser_1561,2024-11-17,2,False
usr_0011,ser_0452,2025-02-23,5,True
usr_0011,ser_1249,2024-09-04,1,False
usr_0011,ser_0785,2024-03-23,3,False
usr_0011,ser_0938,2024-10-07,4,False
usr_0011,ser_2554,2024-01-03,5,False
usr_0012,ser_1346,2024-07-09,3,False
usr_0012,ser_2846,2025-03-01,3,True
usr_0012,ser_2159,2024-09-24,1,True
usr_0012,ser_2597,2024-06-18,5,True
usr_0012,ser_2617,2025-01-27,1,False
usr_0012,ser_2916,2024-09-01,3,False
usr_0012,ser_1472,2024-04-09,4,True
usr_0012,ser_2534,2024-05-17,1,False
usr_0013,ser_0156,2025-02-28,3,True
usr_0013,ser_1980,2024-03-26,3,False
usr_0014,ser_2171,2025-04-22,2,False
usr_0014,ser_1316,2024-05-25,4,False
usr_0014,ser_2861,2024-11-15,4,True
usr_0014,ser_0708,2024-01-11,3,False
usr_0015,ser_1960,2024-12-15,2,True
usr_0015,ser_2964,2024-12-23,3,False
usr_0016,ser_1480,2025-04-10,4,False
usr_0016,ser_1503,2024-09-06,1,True
usr_0016,ser_2938,2024-01-08,3,True
usr_0016,ser_0307,2024-07-05,2,False
usr_0016,ser_2097,2025-04-10,2,False
usr_0016,ser_2842,2024-11-09,3,True
usr_0017,ser_0932,2024-01-04,1,False
usr_0017,ser_0509,2024-07-31,2,True
usr_0017,ser_1744,2024-03-18,2,False
usr_0017,ser_1036,2024-08-20,3,False
usr_0017,ser_1575,2024-01-07,5,False
usr_0018,ser_2094,2024-07-14,1,True
usr_0018,ser_0182,2024-01-26,1,True
usr_0018,ser_2159,2025-03-10,4,True
usr_0018,ser_0389,2024-11-24,5,True
usr_0018,ser_0685,2024-04-14,5,False
usr_0018,ser_0684,2024-05-12,2,False
usr_0018,ser_2548,2024-10-22,1,True
usr_0018,ser_0373,2024-02-21,5,False
usr_0019,ser_0972,2024-02-12,2,True
usr_0019,ser_2851,2024-02-23,2,False
usr_0019,ser_0704,2024-11-08,5,True
usr_0019,ser_0515,2024-06-18,1,False
usr_0019,ser_2586,2024-01-25,1,True
usr_0020,ser_0520,2024-11-18,2,False
usr_0020,ser_2983,2025-01-24,4,True
usr_0020,ser_1798,2025-04-24,1,True
usr_0021,ser_0769,2025-03-24,1,False
usr_0021,ser_2531,2025-01-02,3,False
usr_0021,ser_2338,2024-11-01,3,True
usr_0021,ser_1700,2025-01-16,4,False
usr_0021,ser_0923,2024-03-18,5,True
usr_0021,ser_1555,2025-03-31,2,False
usr_0021,ser_2898,2024-03-06,3,True
usr_0022,ser_0041,2025-03-13,5,False
usr_0022,ser_2282,2025-02-23,4,False
usr_0022,ser_1800,2024-10-25,5,True
usr_0023,ser_2525,2024-10-02,3,False
usr_0023,ser_2421,2024-04-30,2,False
usr_0023,ser_2647,2024-10-31,3,True
usr_0023,ser_1694,2025-01-31,1,True
usr_0024,ser_0845,2025-02-03,4,False
usr_0024,ser_0123,2024-11-20,3,True
usr_0024,ser_2058,2024-09-02,1,False
usr_0024,ser_2995,2024-02-08,5,True
usr_0024,ser_0031,2024-10-23,1,False
usr_0025,ser_1064,2024-12-21,1,False
usr_0025,ser_0770,2024-04-03,5,True
usr_0025,ser_1890,2025-04-23,2,True
usr_0025,ser_2620,2025-04-23,5,True
usr_0025,ser_0372,2024-09-20,1,False
usr_0025,ser_1233,2024-03-14,5,True
usr_0025,ser_0872,2024-06-18,2,False
usr_0025,ser_2389,2024-01-18,5,False
usr_0025,ser_2234,2024-05-08,2,True
usr_0025,ser_0251,2024-02-11,5,False
usr_0026,ser_1671,2024-09-26,5,True
usr_0026,ser_1837,2024-09-01,4,True
usr_0026,ser_0080,2024-11-30,5,True
usr_0026,ser_1390,2024-10-30,2,True
usr_0026,ser_2040,2024-03-15,4,False
usr_0026,ser_0566,2024-01-14,3,True
usr_0026,ser_1019,2024-10-05,1,True
usr_0026,ser_1195,2024-03-08,5,True
usr_0026,ser_2979,2024-06-30,4,True
usr_0026,ser_0862,2024-04-11,5,False
usr_0027,ser_0761,2025-01-07,5,True
usr_0027,ser_1249,2024-01-27,2,False
usr_0027,ser_1908,2024-07-02,2,True
usr_0027,ser_2797,2024-10-15,4,True
usr_0027,ser_2012,2024-08-05,1,False
usr_0027,ser_2958,2024-01-10,1,False
usr_0028,ser_0693,2025-02-07,1,False
usr_0028,ser_2249,2025-02-16,3,True
usr_0029,ser_0143,2024-08-11,4,False
usr_0029,ser_1213,2024-03-28,4,False
usr_0029,ser_0407,2024-07-23,2,False
usr_0029,ser_0424,2024-07-01,3,True
usr_0029,ser_1473,2025-01-08,4,False
usr_0029,ser_0800,2024-06-07,3,False
usr_0029,ser_1737,2025-02-12,4,False
usr_0029,ser_1389,2025-03-03,1,False
usr_0029,ser_1040,2024-05-22,5,True
usr_0030,ser_0945,2024-05-18,3,False
usr_0030,ser_0566,2025-04-12,2,False
usr_0030,ser_0179,2024-08-30,1,True
usr_0031,ser_2549,2025-01-09,4,True
usr_0031,ser_0326,2024-10-11,5,False
usr_0032,ser_2572,2024-04-20,2,False
usr_0032,ser_0456,2024-12-24,2,False
usr_0032,ser_1524,2024-08-02,2,True
usr_0032,ser_0383,2025-02-13,3,False
usr_0032,ser_0889,2024-10-22,2,True
usr_0032,ser_2788,2025-03-19,1,True
usr_0032,ser_0764,2024-07-04,3,True
usr_0033,ser_0204,2024-09-27,5,True
usr_0033,ser_2322,2024-02-03,5,True
usr_0033,ser_1836,2024-01-02,1,True
usr_0033,ser_2263,2024-07-20,1,False
usr_0033,ser_2821,2024-07-16,5,False
usr_0033,ser_1129,2024-04-27,2,True
usr_0033,ser_1735,2024-11-19,3,True
usr_0033,ser_0397,2024-04-02,1,True
usr_0033,ser_1395,2024-10-31,1,True
usr_0033,ser_2144,2024-11-12,4,True
usr_0034,ser_2006,2024-02-07,2,True
usr_0034,ser_1542,2024-01-21,4,True
usr_0034,ser_2337,2024-10-30,1,True
usr_0035,ser_1831,2024-01-18,2,True
usr_0035,ser_0015,2025-02-04,2,False
usr_0035,ser_2761,2024-11-09,2,False
usr_0036,ser_0122,2024-01-19,1,True
usr_0036,ser_0054,2025-01-05,1,False
usr_0036,ser_2253,2024-02-24,5,False
usr_0036,ser_2261,2025-04-29,5,True
usr_0036,ser_0934,2025-03-16,3,True
usr_0036,ser_1897,2024-07-30,3,False
usr_0037,ser_2469,2025-02-16,2,False
usr_0037,ser_2496,2024-10-08,5,True
