serie_id,genero_id,esPrincipal,relevancia,fechaAsignacion
ser_0001,gen_031,True,0.54,2021-08-21
ser_0001,gen_017,False,0.95,2023-07-18
ser_0001,gen_009,False,0.71,2020-04-28
ser_0002,gen_050,True,0.57,2020-12-09
ser_0002,gen_020,False,0.86,2021-10-30
ser_0002,gen_014,False,0.58,2021-06-07
ser_0003,gen_032,True,0.53,2024-07-10
ser_0003,gen_044,False,0.78,2025-03-02
ser_0003,gen_034,False,0.62,2024-10-31
ser_0004,gen_028,True,0.83,2021-04-21
ser_0004,gen_031,False,0.34,2022-11-13
ser_0004,gen_012,False,0.37,2022-12-21
ser_0005,gen_035,True,0.9,2022-06-18
ser_0006,gen_044,True,0.48,2020-08-09
ser_0006,gen_050,False,0.38,2025-01-07
ser_0006,gen_039,False,0.72,2021-03-31
ser_0007,gen_011,True,0.64,2023-08-15
ser_0007,gen_019,False,0.8,2023-02-26
ser_0007,gen_027,False,0.73,2020-11-12
ser_0008,gen_022,True,0.45,2025-01-16
ser_0008,gen_011,False,0.37,2024-12-01
ser_0009,gen_047,True,0.4,2024-06-19
ser_0010,gen_024,True,0.57,2021-10-13
ser_0010,gen_040,False,0.35,2024-04-18
ser_0010,gen_042,False,0.69,2022-09-22
ser_0011,gen_029,True,0.56,2024-07-26
ser_0011,gen_004,False,0.43,2023-02-26
ser_0012,gen_016,True,0.45,2023-07-16
ser_0012,gen_025,False,0.31,2021-08-13
ser_0012,gen_005,False,0.52,2022-04-14
ser_0013,gen_007,True,0.97,2020-11-18
ser_0013,gen_040,False,0.8,2024-08-29
ser_0014,gen_019,True,0.34,2022-05-25
ser_0014,gen_005,False,0.65,2022-12-22
ser_0014,gen_043,False,0.97,2022-03-04
ser_0015,gen_050,True,0.41,2024-02-04
ser_0015,gen_047,False,0.84,2024-01-20
ser_0015,gen_015,False,0.67,2023-04-26
ser_0016,gen_003,True,0.97,2022-07-23
ser_0016,gen_005,False,0.35,2021-01-23
ser_0017,gen_049,True,0.47,2023-12-18
ser_0018,gen_002,True,0.62,2022-12-19
ser_0018,gen_040,False,0.49,2024-09-03
ser_0019,gen_038,True,0.69,2022-09-02
ser_0019,gen_004,False,0.86,2021-04-24
ser_0020,gen_014,True,0.37,2022-05-02
ser_0020,gen_041,False,0.86,2024-06-15
ser_0021,gen_029,True,0.54,2020-12-12
ser_0022,gen_020,True,0.95,2020-06-21
ser_0022,gen_027,False,0.33,2022-03-29
ser_0023,gen_039,True,0.63,2020-04-15
ser_0023,gen_042,False,0.3,2023-11-12
ser_0023,gen_029,False,0.62,2020-05-09
ser_0024,gen_014,True,0.74,2023-11-12
ser_0024,gen_009,False,0.85,2022-02-19
ser_0024,gen_024,False,0.82,2020-05-26
ser_0025,gen_001,True,0.3,2025-02-07
ser_0025,gen_025,False,0.54,2021-05-14
ser_0025,gen_007,False,0.87,2020-03-24
ser_0026,gen_032,True,0.34,2020-02-12
ser_0027,gen_001,True,0.94,2024-03-16
ser_0028,gen_009,True,0.81,2020-12-12
ser_0029,gen_026,True,0.91,2025-04-17
ser_0029,gen_036,False,0.73,2021-10-14
ser_0029,gen_014,False,0.37,2024-03-06
ser_0030,gen_008,True,0.95,2024-08-31
ser_0031,gen_049,True,0.94,2023-01-23
ser_0032,gen_047,True,0.57,2021-02-05
ser_0033,gen_047,True,0.38,2024-05-22
ser_0033,gen_038,False,0.57,2022-08-06
ser_0034,gen_040,True,0.93,2024-09-22
ser_0034,gen_034,False,0.35,2024-09-13
ser_0035,gen_019,True,0.73,2020-06-11
ser_0036,gen_050,True,0.99,2021-04-14
ser_0037,gen_036,True,0.4,2020-11-06
ser_0038,gen_008,True,0.57,2024-05-02
ser_0038,gen_037,False,0.39,2025-02-21
ser_0039,gen_022,True,0.57,2022-06-05
ser_0039,gen_033,False,0.61,2020-08-10
ser_0039,gen_041,False,0.34,2024-11-25
ser_0040,gen_002,True,0.87,2021-06-02
ser_0040,gen_010,False,0.9,2024-05-30
ser_0041,gen_025,True,0.98,2023-12-17
ser_0041,gen_021,False,0.49,2024-02-22
ser_0041,gen_003,False,0.41,2024-01-06
ser_0042,gen_034,True,0.76,2024-06-11
ser_0043,gen_021,True,0.88,2021-06-23
ser_0044,gen_034,True,0.79,2025-04-24
ser_0044,gen_004,False,0.54,2024-09-10
ser_0044,gen_022,False,0.98,2020-01-05
ser_0045,gen_019,True,0.4,2021-05-30
ser_0046,gen_050,True,0.45,2022-02-06
ser_0046,gen_009,False,0.43,2020-08-24
ser_0046,gen_027,False,0.76,2023-07-12
ser_0047,gen_019,True,0.61,2025-04-15
ser_0047,gen_033,False,0.39,2023-11-06
ser_0048,gen_010,True,0.3,2020-02-04
ser_0049,gen_006,True,0.44,2024-06-30
ser_0049,gen_045,False,0.75,2020-01-30
ser_0050,gen_007,True,0.84,2022-04-30
ser_0051,gen_028,True,0.85,2022-08-04
ser_0051,gen_047,False,0.5,2022-11-26
ser_0052,gen_012,True,0.66,2022-09-28
ser_0053,gen_001,True,0.73,2020-03-30
ser_0053,gen_032,False,0.94,2025-01-14
ser_0053,gen_013,False,0.51,2022-06-04
ser_0054,gen_003,True,0.79,2025-02-15
ser_0055,gen_027,True,0.91,2024-03-31
ser_0055,gen_026,False,0.89,2020-12-23
ser_0056,gen_025,True,0.41,2024-06-10
ser_0056,gen_003,False,0.8,2024-10-04
ser_0056,gen_041,False,0.6,2023-08-25
ser_0057,gen_040,True,0.35,2023-07-29
ser_0057,gen_039,False,0.33,2024-06-10
ser_0058,gen_032,True,0.51,2023-05-04
ser_0058,gen_008,False,0.53,2021-06-10
ser_0058,gen_027,False,0.99,2021-10-18
ser_0059,gen_033,True,0.51,2022-04-13
ser_0059,gen_017,False,0.54,2022-08-03
ser_0059,gen_047,False,0.8,2020-08-29
ser_0060,gen_045,True,0.87,2023-07-20
ser_0061,gen_008,True,0.44,2020-12-08
ser_0061,gen_023,False,0.63,2024-03-08
ser_0062,gen_014,True,0.66,2024-10-04
ser_0062,gen_041,False,0.62,2021-03-16
ser_0062,gen_012,False,0.4,2024-05-22
ser_0063,gen_030,True,0.84,2022-05-22
ser_0064,gen_017,True,0.81,2023-07-17
ser_0064,gen_049,False,0.5,2022-10-20
ser_0065,gen_050,True,0.84,2021-08-16
ser_0065,gen_039,False,0.99,2023-11-11
ser_0066,gen_022,True,0.49,2020-04-30
ser_0066,gen_041,False,0.43,2024-02-03
ser_0067,gen_047,True,0.32,2023-08-10
ser_0068,gen_020,True,0.46,2022-05-01
ser_0069,gen_049,True,0.51,2025-01-15
ser_0069,gen_037,False,0.94,2023-02-08
ser_0070,gen_012,True,0.99,2021-09-17
ser_0070,gen_014,False,0.85,2021-11-12
ser_0070,gen_009,False,0.81,2021-03-23
ser_0071,gen_025,True,0.66,2020-11-27
ser_0071,gen_027,False,0.99,2024-05-04
ser_0072,gen_039,True,0.59,2022-01-17
ser_0072,gen_047,False,0.84,2023-10-05
ser_0072,gen_049,False,0.56,2023-05-23
ser_0073,gen_010,True,0.98,2021-03-28
ser_0073,gen_043,False,0.89,2023-06-13
ser_0073,gen_001,False,0.68,2020-08-19
ser_0074,gen_015,True,0.87,2022-08-13
ser_0075,gen_026,True,0.35,2022-01-18
ser_0075,gen_005,False,0.77,2022-09-13
ser_0075,gen_040,False,0.98,2020-07-22
ser_0076,gen_006,True,0.95,2021-12-30
ser_0076,gen_008,False,0.82,2022-12-18
ser_0077,gen_041,True,0.57,2020-11-10
ser_0078,gen_005,True,0.55,2023-06-02
ser_0079,gen_011,True,0.35,2022-01-03
ser_0079,gen_036,False,0.68,2024-11-27
ser_0080,gen_026,True,0.7,2020-05-11
ser_0080,gen_022,False,0.56,2025-01-13
ser_0080,gen_003,False,0.72,2024-12-08
ser_0081,gen_024,True,0.87,2023-05-25
ser_0081,gen_002,False,0.83,2024-04-04
ser_0081,gen_029,False,0.4,2024-11-20
ser_0082,gen_005,True,0.76,2023-05-21
ser_0082,gen_003,False,0.69,2020-07-08
ser_0083,gen_002,True,0.75,2024-10-16
ser_0084,gen_019,True,0.31,2020-10-11
ser_0084,gen_015,False,0.62,2021-04-06
ser_0085,gen_049,True,0.31,2022-02-07
ser_0086,gen_026,True,0.5,2022-07-03
ser_0086,gen_037,False,0.75,2023-07-11
ser_0087,gen_036,True,0.31,2023-07-20
ser_0088,gen_012,True,0.95,2024-11-19
ser_0088,gen_025,False,0.58,2022-06-30
ser_0088,gen_013,False,0.59,2021-04-08
ser_0089,gen_042,True,0.52,2020-06-11
ser_0089,gen_007,False,0.82,2022-07-28
ser_0089,gen_006,False,0.54,2024-10-26
ser_0090,gen_033,True,0.49,2021-06-29
ser_0090,gen_031,False,0.9,2021-01-15
ser_0090,gen_006,False,0.6,2025-01-07
ser_0091,gen_009,True,0.45,2024-06-14
ser_0091,gen_038,False,0.56,2024-06-28
ser_0092,gen_047,True,0.92,2021-07-30
ser_0092,gen_025,False,0.96,2022-11-02
ser_0093,gen_013,True,0.91,2020-05-09
ser_0093,gen_047,False,0.59,2021-09-07
ser_0093,gen_033,False,0.8,2020-10-02
ser_0094,gen_035,True,0.88,2025-02-03
ser_0094,gen_047,False,0.52,2020-04-14
ser_0094,gen_039,False,0.55,2021-08-05
ser_0095,gen_031,True,0.69,2023-04-10
ser_0095,gen_017,False,0.5,2024-12-01
ser_0095,gen_016,False,0.54,2024-06-19
ser_0096,gen_038,True,0.76,2021-11-14
ser_0096,gen_031,False,0.87,2022-07-27
ser_0096,gen_011,False,0.94,2023-02-12
ser_0097,gen_035,True,0.54,2023-11-18
ser_0097,gen_012,False,0.51,2024-01-31
ser_0097,gen_019,False,0.76,2021-07-26
ser_0098,gen_008,True,0.31,2020-08-18
ser_0099,gen_041,True,0.73,2020-08-30
ser_0099,gen_038,False,0.38,2024-08-26
ser_0100,gen_029,True,0.53,2021-07-26
ser_0100,gen_034,False,0.56,2023-03-04
ser_0101,gen_042,True,0.54,2023-12-11
ser_0101,gen_003,False,0.73,2022-02-17
ser_0101,gen_047,False,0.57,2020-09-19
ser_0102,gen_028,True,0.89,2021-03-16
ser_0102,gen_039,False,0.47,2021-11-24
ser_0102,gen_012,False,0.86,2025-03-12
ser_0103,gen_001,True,0.77,2025-01-06
ser_0103,gen_003,False,0.39,2021-12-10
ser_0103,gen_048,False,0.82,2025-04-13
ser_0104,gen_039,True,0.53,2023-09-11
ser_0105,gen_041,True,0.56,2023-11-20
ser_0106,gen_030,True,0.89,2022-09-25
ser_0107,gen_048,True,0.42,2022-01-04
ser_0107,gen_014,False,0.41,2022-01-11
ser_0107,gen_007,False,0.67,2024-09-16
ser_0108,gen_003,True,0.45,2020-07-13
