estudio_id,serie_id,anio,presupuesto,distribucion
est_014,ser_0001,2018,126.82,Regional
est_010,ser_0002,2020,53.18,Global
est_016,ser_0003,2008,182.28,Global
est_016,ser_0004,1997,104.17,Streaming exclusivo
est_029,ser_0005,2018,46.74,Global
est_011,ser_0006,1991,78.34,Global
est_004,ser_0007,2016,91.57,Regional
est_019,ser_0008,2024,10.19,Nacional
est_007,ser_0009,2012,27.5,Nacional
est_021,ser_0010,2018,70.29,Regional
est_007,ser_0011,2009,26.31,Streaming exclusivo
est_011,ser_0012,2003,84.07,Global
est_029,ser_0013,2021,134.19,Streaming exclusivo
est_009,ser_0014,1994,4.85,Regional
est_023,ser_0015,2024,165.49,Regional
est_038,ser_0016,2010,164.7,Nacional
est_033,ser_0017,2023,83.0,Streaming exclusivo
est_010,ser_0018,2010,141.78,Nacional
est_028,ser_0019,2005,20.65,Streaming exclusivo
est_031,ser_0020,1991,176.91,Nacional
est_021,ser_0021,2011,37.89,Nacional
est_008,ser_0022,1997,146.99,Streaming exclusivo
est_003,ser_0023,2018,170.93,Regional
est_024,ser_0024,1993,13.27,Nacional
est_032,ser_0025,1990,141.21,Regional
est_004,ser_0026,2019,47.18,Regional
est_031,ser_0027,2002,76.88,Nacional
est_020,ser_0028,2018,92.1,Regional
est_039,ser_0029,2022,132.67,Nacional
est_014,ser_0030,2011,45.87,Streaming exclusivo
est_039,ser_0031,1993,83.09,Global
est_015,ser_0032,2020,112.65,Nacional
est_002,ser_0033,2000,64.76,Streaming exclusivo
est_004,ser_0034,2004,3.75,Global
est_035,ser_0035,2001,80.75,Streaming exclusivo
est_020,ser_0036,2018,48.84,Streaming exclusivo
est_040,ser_0037,2001,195.59,Regional
est_034,ser_0038,1991,153.13,Nacional
est_021,ser_0039,2011,114.5,Regional
est_008,ser_0040,2017,173.75,Global
est_005,ser_0041,2017,5.01,Global
est_008,ser_0042,2005,10.23,Regional
est_037,ser_0043,1994,165.18,Global
est_031,ser_0044,2001,102.88,Nacional
est_002,ser_0045,2015,23.5,Nacional
est_039,ser_0046,2003,103.29,Regional
est_030,ser_0047,1995,97.03,Regional
est_035,ser_0048,2019,145.49,Global
est_030,ser_0049,2021,71.84,Regional
est_034,ser_0050,2012,157.39,Regional
est_033,ser_0051,1997,156.18,Nacional
est_014,ser_0052,2007,25.7,Streaming exclusivo
est_002,ser_0053,2012,53.33,Nacional
est_024,ser_0054,1999,183.76,Regional
est_035,ser_0055,2019,98.73,Streaming exclusivo
est_034,ser_0056,2018,89.48,Nacional
est_014,ser_0057,2021,66.47,Global
est_019,ser_0058,1991,137.38,Nacional
est_027,ser_0059,2015,170.87,Regional
est_006,ser_0060,2009,16.85,Nacional
est_002,ser_0061,1991,63.48,Nacional
est_006,ser_0062,1994,69.89,Streaming exclusivo
est_002,ser_0063,2000,39.66,Nacional
est_038,ser_0064,2003,139.41,Global
est_018,ser_0065,2009,81.59,Regional
est_022,ser_0066,1999,87.64,Streaming exclusivo
