usuario1_id,usuario2_id,fechaSeguimiento,mutuo,notificaciones
usr_0001,usr_0590,2025-03-25,True,True
usr_0001,usr_0752,2024-09-26,True,True
usr_0002,usr_0141,2024-05-16,True,False
usr_0002,usr_0373,2023-04-11,False,True
usr_0002,usr_0610,2024-08-10,True,True
usr_0002,usr_0087,2023-04-02,True,True
usr_0002,usr_0052,2024-03-12,False,False
usr_0002,usr_0504,2023-02-20,True,False
usr_0002,usr_0743,2023-11-01,True,False
usr_0002,usr_0016,2024-06-03,False,True
usr_0002,usr_0004,2025-03-07,True,True
usr_0002,usr_0545,2024-07-28,True,True
usr_0003,usr_0743,2023-03-15,True,False
usr_0003,usr_0480,2023-10-19,False,True
usr_0003,usr_0080,2024-01-18,True,True
usr_0003,usr_0233,2023-07-03,False,False
usr_0003,usr_0401,2024-02-09,True,False
usr_0004,usr_0028,2023-05-01,False,True
usr_0004,usr_0740,2025-04-26,True,False
usr_0004,usr_0262,2024-12-03,False,False
usr_0004,usr_0657,2024-06-06,False,False
usr_0004,usr_0279,2025-01-05,True,False
usr_0004,usr_0715,2023-09-29,False,False
usr_0005,usr_0576,2023-06-30,False,True
usr_0005,usr_0120,2023-01-06,False,True
usr_0005,usr_0007,2024-12-10,True,False
usr_0005,usr_0431,2024-12-04,True,False
usr_0006,usr_0280,2024-01-17,False,False
usr_0006,usr_0004,2024-09-18,False,False
usr_0007,usr_0531,2023-01-26,False,False
usr_0007,usr_0785,2023-09-15,False,False
usr_0007,usr_0674,2025-01-13,True,True
usr_0007,usr_0363,2023-08-01,False,True
usr_0007,usr_0555,2024-12-25,True,False
usr_0007,usr_0300,2024-02-24,True,True
usr_0007,usr_0490,2023-11-28,False,False
usr_0007,usr_0794,2023-08-09,False,False
usr_0008,usr_0674,2024-07-27,False,False
usr_0008,usr_0304,2023-01-01,True,True
usr_0008,usr_0145,2023-07-13,True,True
usr_0008,usr_0646,2024-04-03,True,False
usr_0008,usr_0638,2023-07-02,False,True
usr_0008,usr_0456,2023-07-26,True,True
usr_0009,usr_0176,2023-06-28,False,False
usr_0009,usr_0264,2025-04-09,True,True
usr_0009,usr_0375,2024-05-12,True,False
usr_0010,usr_0776,2023-07-12,False,False
usr_0010,usr_0418,2025-01-30,False,True
usr_0010,usr_0254,2024-09-11,False,True
usr_0010,usr_0326,2024-04-26,True,True
usr_0010,usr_0651,2024-01-30,True,False
usr_0010,usr_0758,2025-01-02,True,True
usr_0010,usr_0391,2023-04-13,True,False
usr_0011,usr_0010,2024-05-30,False,True
usr_0011,usr_0357,2024-12-11,False,False
usr_0011,usr_0726,2024-03-14,False,True
usr_0011,usr_0686,2023-07-19,True,False
usr_0011,usr_0630,2024-07-21,True,False
usr_0012,usr_0167,2024-02-17,True,False
usr_0012,usr_0418,2023-02-23,False,False
usr_0012,usr_0254,2023-12-30,False,False
usr_0012,usr_0457,2024-07-06,False,False
usr_0012,usr_0306,2024-03-08,False,True
usr_0012,usr_0190,2023-09-25,False,False
usr_0012,usr_0456,2024-01-26,False,True
usr_0012,usr_0506,2024-10-06,False,False
usr_0012,usr_0484,2024-06-24,False,False
usr_0013,usr_0630,2023-09-25,True,False
usr_0013,usr_0610,2023-08-09,False,False
usr_0013,usr_0761,2023-07-05,True,True
usr_0013,usr_0375,2024-05-26,True,False
usr_0013,usr_0502,2023-02-21,True,True
usr_0013,usr_0019,2025-02-14,True,False
usr_0013,usr_0526,2023-02-21,False,True
usr_0015,usr_0602,2024-12-02,True,True
usr_0015,usr_0386,2024-05-26,False,True
usr_0015,usr_0778,2023-10-03,False,True
usr_0015,usr_0454,2023-09-04,True,True
usr_0015,usr_0253,2024-12-18,False,False
usr_0015,usr_0575,2023-08-26,False,True
usr_0015,usr_0345,2024-05-26,False,True
usr_0016,usr_0174,2025-03-15,True,False
usr_0016,usr_0434,2024-03-28,False,False
usr_0016,usr_0665,2024-12-17,True,False
usr_0016,usr_0130,2024-03-17,True,True
usr_0016,usr_0345,2023-04-28,True,True
usr_0016,usr_0621,2023-12-03,False,True
usr_0016,usr_0752,2023-03-11,True,True
usr_0016,usr_0425,2024-05-27,True,False
usr_0017,usr_0207,2023-01-23,False,False
usr_0017,usr_0137,2023-10-07,False,True
usr_0017,usr_0248,2023-08-19,False,False
usr_0017,usr_0338,2024-12-02,True,True
usr_0017,usr_0341,2024-02-01,True,True
usr_0017,usr_0355,2023-12-21,False,True
usr_0017,usr_0670,2024-02-22,True,True
usr_0018,usr_0462,2025-01-26,True,True
usr_0018,usr_0732,2025-01-18,False,False
usr_0018,usr_0655,2025-04-30,True,False
usr_0018,usr_0119,2024-03-11,False,True
usr_0019,usr_0108,2024-11-03,True,True
usr_0019,usr_0616,2024-08-08,False,False
usr_0019,usr_0381,2023-10-13,True,False
usr_0019,usr_0352,2023-07-16,False,True
usr_0019,usr_0740,2024-05-26,True,False
usr_0019,usr_0266,2024-01-29,False,True
usr_0019,usr_0023,2024-02-16,True,True
usr_0019,usr_0618,2024-03-04,False,True
usr_0020,usr_0489,2023-10-05,True,True
usr_0020,usr_0403,2023-11-28,True,True
usr_0020,usr_0463,2025-01-08,True,False
usr_0020,usr_0775,2023-06-20,True,True
usr_0020,usr_0027,2023-04-17,True,False
usr_0021,usr_0196,2024-05-16,True,True
usr_0021,usr_0290,2023-07-27,True,True
usr_0021,usr_0020,2023-03-14,True,False
usr_0021,usr_0193,2023-02-01,False,True
usr_0022,usr_0686,2024-02-13,False,True
usr_0022,usr_0785,2024-07-30,True,False
usr_0022,usr_0422,2023-07-12,True,True
usr_0022,usr_0487,2023-08-06,True,True
usr_0022,usr_0007,2025-03-05,True,True
usr_0022,usr_0416,2024-01-21,True,True
usr_0022,usr_0330,2024-02-28,True,True
usr_0022,usr_0140,2023-07-29,False,False
usr_0022,usr_0695,2023-12-22,False,False
usr_0023,usr_0372,2023-02-07,True,True
usr_0023,usr_0084,2023-04-14,True,False
usr_0023,usr_0080,2024-08-08,False,False
usr_0023,usr_0391,2023-03-31,True,True
usr_0023,usr_0104,2025-03-27,True,False
usr_0023,usr_0397,2023-11-29,False,True
usr_0023,usr_0117,2025-04-24,False,False
usr_0023,usr_0378,2024-12-24,False,True
usr_0024,usr_0159,2025-03-07,True,False
usr_0024,usr_0470,2023-03-27,True,True
usr_0024,usr_0095,2024-03-13,False,False
usr_0024,usr_0287,2024-08-01,False,True
usr_0024,usr_0225,2024-06-05,False,True
usr_0024,usr_0392,2023-07-02,False,True
usr_0024,usr_0516,2024-09-09,True,False
usr_0025,usr_0746,2024-08-25,False,True
usr_0025,usr_0020,2023-09-27,False,False
usr_0025,usr_0649,2025-03-24,False,False
usr_0025,usr_0005,2024-01-05,False,False
usr_0025,usr_0064,2023-08-11,True,False
