serie1_id,serie2_id,puntuacionSimilitud,algoritmo,fechaCalculada
ser_0001,ser_0083,0.69,collaborative,2024-01-20
ser_0001,ser_2868,0.79,jaccard,2025-03-13
ser_0002,ser_2434,0.75,collaborative,2024-03-05
ser_0002,ser_2350,0.68,jaccard,2025-04-30
ser_0003,ser_2491,0.77,collaborative,2025-01-01
ser_0004,ser_1633,0.75,manual,2025-02-21
ser_0005,ser_0189,0.5,collaborative,2024-10-20
ser_0005,ser_1300,0.94,manual,2024-10-30
ser_0006,ser_1649,0.93,cosine,2024-07-21
ser_0007,ser_2067,0.68,manual,2024-08-10
ser_0008,ser_0261,0.57,jaccard,2025-02-15
ser_0009,ser_0216,0.6,jaccard,2024-04-27
ser_0010,ser_1431,0.55,cosine,2024-11-11
ser_0011,ser_0668,0.66,manual,2024-09-30
ser_0011,ser_0591,0.75,jaccard,2024-11-21
ser_0011,ser_0858,0.92,collaborative,2024-11-08
ser_0012,ser_0376,0.42,jaccard,2024-03-01
ser_0012,ser_1296,0.58,collaborative,2025-02-25
ser_0012,ser_1749,0.81,manual,2024-04-11
ser_0013,ser_1262,0.85,manual,2024-05-29
ser_0013,ser_2510,0.65,cosine,2024-09-18
ser_0013,ser_0080,0.79,cosine,2024-11-15
ser_0014,ser_1532,0.61,manual,2024-12-23
ser_0015,ser_0814,0.94,manual,2024-06-29
ser_0016,ser_2843,0.45,manual,2024-04-06
ser_0017,ser_0954,0.78,collaborative,2024-08-03
ser_0018,ser_0186,0.78,jaccard,2025-02-04
ser_0019,ser_1554,0.73,collaborative,2024-10-20
ser_0019,ser_0816,0.41,jaccard,2024-07-27
ser_0020,ser_0891,0.7,cosine,2024-02-29
ser_0020,ser_2850,0.6,jaccard,2024-10-26
ser_0020,ser_2296,0.63,cosine,2024-02-22
ser_0021,ser_0987,0.56,cosine,2024-05-31
ser_0021,ser_0579,0.73,jaccard,2024-04-13
ser_0021,ser_1229,0.85,manual,2024-09-19
ser_0022,ser_1234,0.81,collaborative,2024-12-16
ser_0022,ser_0902,0.93,manual,2024-03-15
ser_0022,ser_0669,0.52,manual,2024-07-28
ser_0023,ser_2135,0.54,collaborative,2025-04-13
ser_0023,ser_2709,0.71,collaborative,2024-10-08
ser_0023,ser_0884,0.8,manual,2025-02-20
ser_0024,ser_1923,0.55,cosine,2025-04-13
ser_0025,ser_1020,0.42,cosine,2024-09-08
ser_0025,ser_1660,0.7,collaborative,2025-01-24
ser_0025,ser_1051,0.76,collaborative,2024-01-28
ser_0026,ser_0116,0.75,manual,2024-10-19
ser_0026,ser_0532,0.62,manual,2024-09-30
ser_0026,ser_2494,0.43,collaborative,2024-06-02
ser_0027,ser_2471,0.92,cosine,2024-11-16
ser_0028,ser_1498,0.93,cosine,2024-02-19
ser_0028,ser_0783,0.8,collaborative,2024-07-16
ser_0029,ser_0390,0.48,cosine,2024-11-11
ser_0029,ser_2977,0.6,cosine,2025-01-10
ser_0029,ser_2401,0.66,cosine,2024-04-19
ser_0030,ser_1626,0.83,manual,2024-08-03
ser_0030,ser_0003,0.85,collaborative,2024-11-23
ser_0030,ser_1446,0.71,collaborative,2024-07-10
ser_0031,ser_0963,0.71,cosine,2025-02-08
ser_0031,ser_2717,0.93,cosine,2025-03-11
ser_0032,ser_0231,0.68,cosine,2025-03-16
ser_0032,ser_0855,0.44,jaccard,2024-09-07
ser_0033,ser_2140,0.85,cosine,2024-02-12
ser_0034,ser_1326,0.54,manual,2025-04-03
ser_0035,ser_2829,0.67,cosine,2024-03-17
ser_0036,ser_1529,0.74,jaccard,2025-01-02
ser_0036,ser_2428,0.74,cosine,2025-02-25
ser_0037,ser_0072,0.41,collaborative,2024-06-08
ser_0038,ser_2608,0.93,cosine,2024-05-01
ser_0038,ser_1586,0.73,cosine,2025-03-10
ser_0039,ser_0398,0.72,collaborative,2024-03-14
ser_0039,ser_1020,0.83,collaborative,2024-01-30
ser_0040,ser_0223,0.5,cosine,2025-01-11
ser_0041,ser_2111,0.76,manual,2025-03-28
ser_0042,ser_0961,0.42,manual,2024-08-13
ser_0043,ser_2659,0.49,jaccard,2025-03-25
ser_0043,ser_2044,0.69,collaborative,2024-05-14
ser_0043,ser_0482,0.53,collaborative,2025-04-26
ser_0044,ser_0810,0.47,cosine,2024-09-05
ser_0045,ser_0212,0.81,jaccard,2024-02-11
ser_0045,ser_0088,0.7,collaborative,2024-07-26
ser_0046,ser_0131,0.83,collaborative,2024-02-01
ser_0046,ser_2048,0.86,cosine,2025-04-02
ser_0046,ser_2073,0.81,jaccard,2024-06-28
ser_0047,ser_1675,0.56,manual,2024-12-20
ser_0047,ser_1725,0.65,jaccard,2024-02-18
ser_0048,ser_0930,0.67,collaborative,2024-04-23
ser_0049,ser_0180,0.47,cosine,2024-11-22
ser_0049,ser_2260,0.4,manual,2024-08-01
ser_0049,ser_2533,0.5,cosine,2024-09-12
ser_0050,ser_2132,0.87,jaccard,2024-04-18
ser_0050,ser_1269,0.77,jaccard,2024-08-12
ser_0051,ser_2480,0.58,jaccard,2024-12-28
