plataforma_id,serie_id,fechaDisponible,exclusiva,regiones
plat_021,ser_0001,2020-06-15,False,BR|MX|GT|UK|FR|DE
plat_028,ser_0001,2019-03-15,False,GT|MX|ES|CL
plat_012,ser_0002,2024-11-25,False,BR|CO|US|JP|DE
plat_013,ser_0002,2019-03-15,False,BR|UK
plat_003,ser_0003,2020-07-02,True,GT|BR|CL
plat_021,ser_0003,2019-11-15,False,US|MX|GT|BR
plat_018,ser_0003,2024-03-07,False,JP|US
plat_024,ser_0004,2018-12-07,True,CO|GT|FR
plat_008,ser_0004,2019-07-23,True,ES|US|MX
plat_009,ser_0004,2023-02-08,True,ES|JP|FR|CL|US|UK
plat_013,ser_0005,2024-03-28,False,GT|US|CO|DE|CL
plat_021,ser_0005,2021-03-08,False,UK|DE|JP
plat_028,ser_0005,2023-09-19,False,CL|PE|MX|UK
plat_020,ser_0006,2024-05-20,False,JP|MX|DE|US|ES|AR
plat_021,ser_0007,2020-02-18,False,UK|GT
plat_007,ser_0007,2019-08-23,False,GT|ES|UK|CL
plat_017,ser_0007,2024-10-20,False,DE|CL|GT|ES|US|MX
plat_024,ser_0008,2018-02-23,False,JP|GT|DE|ES
plat_020,ser_0009,2022-05-25,True,FR|PE
plat_013,ser_0010,2019-03-31,True,MX|DE|CL|AR
plat_010,ser_0010,2020-10-29,False,UK|ES|GT|JP
plat_025,ser_0011,2024-09-02,False,ES|CL|UK|US|FR|PE
plat_012,ser_0011,2018-01-15,False,US|GT|ES|FR|CL
plat_024,ser_0012,2018-02-22,False,UK|MX|GT
plat_009,ser_0013,2020-10-01,True,BR|GT
plat_020,ser_0013,2024-04-21,True,JP|ES
plat_015,ser_0013,2024-12-27,True,DE|AR|ES|PE
plat_008,ser_0014,2022-09-21,True,US|MX|JP|UK|CO
plat_024,ser_0015,2024-04-07,True,ES|MX|JP|DE|US|UK
plat_025,ser_0016,2018-01-24,False,DE|UK
plat_004,ser_0016,2023-07-01,False,CO|FR|US|AR|ES|DE
plat_015,ser_0017,2023-02-19,False,FR|GT|MX|US|UK
plat_022,ser_0017,2024-10-07,False,GT|MX|UK|AR
plat_028,ser_0017,2019-07-26,True,CL|BR|GT
plat_016,ser_0018,2018-11-22,False,JP|DE|ES|BR|US
plat_013,ser_0019,2019-09-17,True,ES|CO|BR
plat_026,ser_0019,2018-06-11,False,AR|PE|GT|MX
plat_030,ser_0020,2021-03-19,True,US|MX|CL|DE|FR
plat_025,ser_0020,2023-10-01,False,GT|DE|US|CO|JP
plat_006,ser_0021,2021-07-18,False,PE|AR|JP|GT
plat_005,ser_0021,2022-07-09,True,MX|CO|US|JP|GT|UK
plat_005,ser_0022,2024-05-19,False,PE|JP|ES|FR|GT
plat_022,ser_0023,2021-10-11,False,GT|AR|ES
plat_005,ser_0024,2021-04-09,True,CL|AR|MX
plat_008,ser_0024,2018-03-10,True,FR|AR|ES|GT
plat_027,ser_0024,2018-01-23,False,CL|BR|CO|FR|JP
plat_024,ser_0025,2022-07-13,True,BR|MX|CO
plat_008,ser_0026,2019-12-08,True,PE|AR
plat_010,ser_0026,2020-08-18,True,US|GT|MX|CL|UK|AR
plat_014,ser_0027,2018-02-12,True,FR|DE|PE|CO|AR
plat_017,ser_0027,2024-04-10,False,FR|JP
plat_015,ser_0028,2022-10-04,False,ES|AR
plat_026,ser_0029,2022-03-19,False,CO|CL|DE|AR|FR|ES
plat_022,ser_0029,2022-11-09,False,FR|JP|US|ES|PE|UK
plat_027,ser_0030,2021-05-03,False,JP|AR|PE|ES|BR|DE
plat_015,ser_0030,2021-07-07,False,GT|AR|DE|CO|PE
plat_002,ser_0031,2018-07-15,True,CO|FR|CL
plat_008,ser_0032,2019-10-15,True,CO|ES|FR
plat_012,ser_0032,2020-12-17,True,AR|CL
plat_030,ser_0032,2022-02-10,True,ES|MX|FR|CO
plat_002,ser_0033,2023-05-01,True,JP|CO|DE|UK|PE
plat_011,ser_0033,2020-03-01,True,ES|DE
plat_026,ser_0033,2018-07-20,True,AR|GT
plat_002,ser_0034,2023-06-13,False,US|DE|JP|MX|ES|UK
plat_029,ser_0035,2020-01-10,True,PE|AR|US|UK|BR|JP
plat_007,ser_0035,2021-10-18,True,ES|CO|MX|PE|FR
plat_013,ser_0036,2020-03-29,True,PE|BR|AR|FR|JP|US
plat_013,ser_0037,2022-04-12,False,ES|FR|UK|US|CL
plat_015,ser_0037,2021-08-14,True,BR|MX|ES|CL|JP
plat_030,ser_0038,2020-03-17,False,AR|ES
plat_016,ser_0038,2025-04-17,True,MX|BR|ES|GT
plat_015,ser_0039,2023-12-06,False,JP|US
plat_026,ser_0039,2018-01-26,False,BR|US|CL|UK
plat_025,ser_0039,2020-04-20,False,CL|GT|FR|DE|PE
plat_004,ser_0040,2021-08-19,False,FR|GT|CL
plat_006,ser_0040,2018-07-11,False,US|GT|CO
plat_007,ser_0040,2022-08-19,True,FR|US|JP
plat_002,ser_0041,2020-10-06,False,CL|JP|PE
plat_015,ser_0041,2018-06-27,True,CL|UK
plat_015,ser_0042,2023-01-13,True,CL|FR|JP|US
plat_014,ser_0042,2018-07-01,False,UK|GT|MX|JP
plat_001,ser_0042,2024-06-30,False,GT|AR|DE|UK|MX|CL
plat_012,ser_0043,2024-12-04,True,JP|PE|CO
plat_023,ser_0044,2019-09-16,False,ES|BR|DE
plat_018,ser_0044,2021-09-26,False,JP|MX|UK|AR
plat_029,ser_0044,2021-11-13,True,FR|UK|US|CL|DE|JP
plat_014,ser_0045,2020-08-12,False,UK|FR
plat_023,ser_0046,2022-04-09,True,UK|GT|MX|DE|JP
plat_013,ser_0047,2020-04-02,False,JP|ES|PE|US
plat_022,ser_0048,2020-02-13,True,AR|JP|DE|BR|PE
