usuario_id,serie_id,fecha,porcentajeVisto,completada
usr_0001,ser_1747,2023-08-26,0.32,False
usr_0001,ser_2272,2023-09-07,0.95,True
usr_0001,ser_0035,2025-03-01,0.71,False
usr_0001,ser_1487,2024-12-01,0.47,False
usr_0001,ser_2495,2024-03-21,0.92,False
usr_0001,ser_2488,2023-07-27,0.93,False
usr_0001,ser_1778,2023-06-21,0.55,False
usr_0001,ser_0295,2024-04-25,0.95,True
usr_0001,ser_2981,2023-12-07,0.74,False
usr_0001,ser_0949,2024-04-03,0.3,False
usr_0001,ser_2085,2024-11-01,0.37,False
usr_0001,ser_0616,2025-02-16,0.83,False
usr_0001,ser_2621,2024-12-30,0.37,False
usr_0001,ser_2532,2023-01-24,0.96,True
usr_0001,ser_0082,2023-09-07,0.61,False
usr_0001,ser_1926,2023-05-29,0.88,False
usr_0001,ser_1895,2024-01-26,0.17,False
usr_0001,ser_2969,2023-12-30,0.84,False
usr_0002,ser_2472,2023-02-18,0.66,False
usr_0002,ser_0098,2023-02-24,0.9,False
usr_0002,ser_0898,2025-04-12,0.15,False
usr_0002,ser_2000,2025-02-06,0.62,False
usr_0002,ser_2978,2025-01-23,0.52,False
usr_0002,ser_0209,2023-08-17,0.31,False
usr_0002,ser_0355,2023-01-31,0.89,False
usr_0002,ser_0741,2025-03-14,0.81,False
usr_0002,ser_1271,2023-06-27,0.72,False
usr_0002,ser_0038,2023-01-07,0.76,False
usr_0002,ser_0029,2024-03-04,0.41,False
usr_0002,ser_0248,2024-04-03,0.24,False
usr_0002,ser_0700,2023-09-06,0.67,False
usr_0002,ser_2649,2024-06-22,0.52,False
usr_0002,ser_1959,2024-06-16,0.4,False
usr_0002,ser_0742,2023-10-08,0.43,False
usr_0002,ser_0922,2024-03-07,0.61,False
usr_0002,ser_1891,2024-03-17,0.7,False
usr_0002,ser_2380,2023-08-20,0.55,False
usr_0002,ser_0197,2024-03-15,0.92,False
usr_0002,ser_2164,2023-03-27,0.53,False
usr_0002,ser_0463,2024-12-26,0.55,False
usr_0002,ser_0396,2023-03-24,0.86,False
usr_0002,ser_0811,2023-04-10,0.51,False
usr_0003,ser_1580,2023-10-20,0.18,False
usr_0003,ser_1083,2024-07-10,0.57,False
usr_0003,ser_2507,2023-04-02,0.74,False
usr_0003,ser_0062,2023-01-07,0.17,False
usr_0003,ser_2011,2023-05-09,0.13,False
usr_0003,ser_2472,2023-03-23,0.95,True
usr_0003,ser_1804,2024-12-09,0.63,False
usr_0003,ser_2461,2024-11-10,0.88,False
usr_0003,ser_1726,2024-02-21,0.37,False
usr_0003,ser_2384,2023-04-05,0.19,False
usr_0003,ser_2398,2024-05-04,0.97,True
usr_0003,ser_0584,2024-08-15,0.71,False
usr_0003,ser_2783,2025-02-19,0.65,False
usr_0004,ser_1617,2023-04-22,0.24,False
usr_0004,ser_1345,2024-09-09,0.15,False
usr_0004,ser_0484,2024-05-27,0.43,False
usr_0004,ser_1364,2023-04-17,0.55,False
usr_0004,ser_0213,2024-06-20,0.11,False
usr_0004,ser_1105,2023-03-15,0.12,False
usr_0004,ser_1821,2024-02-24,0.57,False
usr_0004,ser_0534,2024-05-27,0.59,False
usr_0004,ser_1896,2023-03-05,0.51,False
usr_0004,ser_2980,2024-02-25,0.46,False
usr_0004,ser_2496,2024-04-11,0.23,False
usr_0004,ser_1379,2024-12-01,0.76,False
usr_0004,ser_2365,2023-12-22,0.72,False
usr_0004,ser_1119,2023-05-29,0.56,False
usr_0004,ser_0707,2023-02-03,0.52,False
usr_0004,ser_2801,2023-09-04,0.52,False
usr_0004,ser_1541,2025-03-06,0.48,False
usr_0004,ser_0963,2024-07-26,0.85,False
usr_0004,ser_2358,2024-08-05,0.87,False
usr_0004,ser_1141,2025-01-12,0.23,False
usr_0004,ser_1526,2025-03-03,0.12,False
usr_0004,ser_2314,2023-03-05,0.11,False
usr_0004,ser_0314,2024-11-29,0.22,False
usr_0004,ser_1090,2024-11-09,0.8,False
usr_0005,ser_1728,2023-06-02,0.49,False
usr_0005,ser_0131,2023-10-23,0.89,False
usr_0005,ser_2285,2024-02-10,0.14,False
usr_0005,ser_2636,2024-12-21,0.64,False
usr_0005,ser_2134,2023-03-22,0.55,False
usr_0005,ser_1174,2024-05-17,0.78,False
usr_0005,ser_0342,2024-04-28,0.93,False
usr_0005,ser_0426,2023-03-06,0.99,True
usr_0005,ser_1491,2024-12-26,0.2,False
usr_0005,ser_2741,2024-05-01,0.96,True
usr_0005,ser_0243,2024-05-28,0.71,False
usr_0005,ser_1072,2024-04-12,0.96,True
usr_0005,ser_0688,2024-07-12,0.86,False
usr_0005,ser_2661,2024-05-14,0.47,False
usr_0005,ser_1019,2023-08-23,0.87,False
usr_0005,ser_0897,2024-01-13,0.26,False
usr_0005,ser_0929,2025-04-27,0.11,False
usr_0006,ser_1245,2024-06-06,0.86,False
usr_0006,ser_0452,2023-04-06,0.22,False
usr_0006,ser_1004,2025-04-06,0.64,False
usr_0006,ser_2237,2024-09-29,0.37,False
usr_0006,ser_2540,2023-04-20,0.85,False
usr_0006,ser_2925,2024-03-31,0.56,False
usr_0006,ser_0480,2025-03-19,0.87,False
usr_0006,ser_1895,2024-11-13,0.6,False
usr_0006,ser_0765,2024-09-21,0.19,False
usr_0006,ser_0265,2024-08-06,0.15,False
usr_0006,ser_2129,2023-02-24,0.41,False
usr_0006,ser_0574,2024-10-09,0.67,False
usr_0006,ser_2615,2023-08-20,0.62,False
usr_0006,ser_1470,2025-04-26,0.51,False
usr_0006,ser_0433,2025-02-17,0.7,False
usr_0006,ser_0318,2024-02-28,0.5,False
usr_0006,ser_0337,2023-07-31,0.28,False
usr_0006,ser_0643,2024-07-16,0.17,False
usr_0006,ser_1713,2023-06-24,0.12,False
usr_0006,ser_1688,2023-01-06,0.23,False
usr_0006,ser_2299,2023-02-13,0.87,False
usr_0006,ser_2149,2025-01-12,0.76,False
usr_0006,ser_2545,2024-09-03,0.7,False
usr_0006,ser_1096,2025-03-08,0.6,False
usr_0007,ser_1533,2024-02-25,0.38,False
usr_0007,ser_0446,2023-12-15,0.36,False
usr_0007,ser_0777,2023-10-12,0.68,False
usr_0007,ser_0057,2023-05-15,0.53,False
usr_0007,ser_2945,2023-11-23,0.15,False
usr_0007,ser_2636,2023-04-04,0.78,False
usr_0007,ser_2420,2024-08-23,0.52,False
usr_0007,ser_0477,2025-04-01,0.44,False
usr_0007,ser_1149,2024-12-05,0.41,False
usr_0007,ser_0817,2023-02-21,0.23,False
usr_0007,ser_1536,2024-09-08,0.88,False
usr_0007,ser_1999,2024-08-01,0.41,False
usr_0007,ser_0197,2024-04-14,0.95,True
usr_0007,ser_1227,2023-01-25,0.8,False
usr_0007,ser_0937,2024-03-28,0.53,False
usr_0007,ser_1929,2023-06-02,0.6,False
usr_0007,ser_1496,2024-01-24,0.51,False
usr_0007,ser_2137,2025-03-18,0.27,False
usr_0007,ser_0278,2023-12-11,0.86,False
usr_0007,ser_2831,2024-11-06,0.42,False
usr_0007,ser_0536,2024-05-10,0.54,False
usr_0007,ser_1009,2025-01-29,0.77,False
usr_0007,ser_1897,2023-10-20,0.52,False
usr_0007,ser_2009,2024-10-27,0.97,True
usr_0007,ser_0623,2023-11-02,0.71,False
usr_0008,ser_2633,2024-02-04,0.17,False
usr_0008,ser_0066,2023-02-27,0.72,False
usr_0008,ser_0428,2024-03-21,0.71,False
usr_0008,ser_2131,2023-12-27,0.95,True
usr_0008,ser_0586,2023-11-18,0.72,False
usr_0008,ser_0526,2023-08-18,0.33,False
usr_0008,ser_0915,2024-10-21,0.7,False
usr_0008,ser_1473,2023-04-08,0.8,False
usr_0009,ser_1408,2024-10-25,0.43,False
usr_0009,ser_1966,2023-05-22,0.15,False
usr_0009,ser_1160,2024-03-16,0.7,False
usr_0009,ser_0442,2023-08-07,0.67,False
usr_0009,ser_2500,2023-07-13,0.54,False
usr_0009,ser_1358,2024-10-28,0.69,False
usr_0009,ser_2397,2023-03-31,0.77,False
usr_0009,ser_0669,2024-05-18,0.58,False
usr_0009,ser_1482,2023-09-14,0.57,False
usr_0009,ser_2757,2024-09-24,0.82,False
usr_0009,ser_2164,2025-03-16,0.44,False
usr_0009,ser_0401,2023-08-27,0.85,False
usr_0009,ser_2763,2023-03-02,0.65,False
usr_0009,ser_2081,2024-01-26,0.81,False
usr_0009,ser_1660,2023-12-03,0.75,False
usr_0009,ser_2849,2024-08-04,0.17,False
usr_0009,ser_1217,2025-01-29,0.91,False
usr_0010,ser_0900,2023-12-02,0.69,False
usr_0010,ser_0617,2024-02-10,0.6,False
usr_0010,ser_2844,2023-07-31,0.89,False
usr_0010,ser_2654,2023-11-18,0.64,False
usr_0010,ser_2547,2025-01-09,0.66,False
usr_0010,ser_1042,2024-12-13,0.6,False
usr_0010,ser_2069,2023-11-06,0.88,False
usr_0010,ser_1776,2024-12-01,0.97,True
usr_0010,ser_2241,2024-07-03,0.97,True
usr_0010,ser_2643,2023-07-09,0.75,False
usr_0010,ser_0914,2024-04-19,0.91,False
usr_0010,ser_0961,2023-03-30,0.82,False
usr_0010,ser_0162,2024-07-07,0.99,True
usr_0010,ser_1597,2024-07-04,0.72,False
usr_0010,ser_1903,2023-08-26,0.45,False
usr_0010,ser_2675,2024-05-27,0.51,False
usr_0010,ser_0946,2025-03-22,0.34,False
usr_0010,ser_2116,2024-02-19,0.24,False
usr_0010,ser_2037,2024-11-10,0.38,False
usr_0010,ser_2093,2023-04-16,0.53,False
usr_0011,ser_2588,2025-01-07,0.85,False
usr_0011,ser_2828,2023-04-10,0.73,False
usr_0011,ser_2869,2025-04-07,0.2,False
usr_0011,ser_2914,2024-06-05,0.18,False
usr_0011,ser_1631,2023-08-14,0.69,False
usr_0011,ser_2981,2023-04-12,0.88,False
usr_0011,ser_0309,2024-10-11,0.45,False
usr_0011,ser_2400,2024-11-06,0.18,False
usr_0011,ser_0328,2023-08-02,0.78,False
usr_0011,ser_2064,2023-10-10,0.68,False
usr_0011,ser_2317,2023-04-03,0.93,False
usr_0011,ser_0519,2025-04-15,0.3,False
usr_0011,ser_1817,2024-09-27,0.88,False
usr_0011,ser_2607,2023-03-27,0.17,False
usr_0011,ser_2879,2024-02-08,0.54,False
usr_0011,ser_1059,2023-04-21,0.32,False
usr_0011,ser_0709,2023-01-03,0.49,False
usr_0011,ser_0133,2023-07-15,0.31,False
usr_0011,ser_0724,2023-06-02,0.88,False
usr_0011,ser_2211,2023-10-11,0.77,False
