id,titulo,sinopsis,anio,calificacion,numTemporadas,numEpisodios,estadoEmision,activa
ser_0001,Tokyo Eve,Una historia épica que cambia el destino de los protagonistas para siempre.,2018,4.01,8,164,False,True
ser_0002,The Last Heist,Misterio y suspenso se entrelazan en esta serie cautivadora.,2020,7.47,11,103,False,True
ser_0003,Dark Side Profesor,Una historia épica que cambia el destino de los protagonistas para siempre.,2008,4.94,9,150,True,True
ser_0004,Westworld Jones,"Drama intenso sobre familia, lealtad y traición.",1997,8.21,5,116,True,True
ser_0005,La  Ted,Misterio y suspenso se entrelazan en esta serie cautivadora.,2018,5.43,6,93,True,False
ser_0006,Beyond Bear,"Drama intenso sobre familia, lealtad y traición.",1991,7.75,1,161,False,True
ser_0007,Dark Robot,Investigación criminal que pone a prueba los límites de la justicia.,2016,9.19,12,131,False,True
ser_0008,Among the Dragon,Una historia épica que cambia el destino de los protagonistas para siempre.,2024,9.18,11,119,True,True
ser_0009,Outlander Tower,Acción sin tregua en una aventura llena de giros inesperados.,2012,5.03,12,8,True,False
ser_0010,Bridgerton Blinders,Una historia épica que cambia el destino de los protagonistas para siempre.,2018,5.28,1,200,False,True
ser_0011,Euphoria Thrones,Una mirada profunda a la condición humana en tiempos difíciles.,2009,5.36,8,98,True,True
ser_0012,The Sympathizer Tower,Una historia épica que cambia el destino de los protagonistas para siempre.,2003,5.14,11,107,True,True
ser_0013,Lost Profesor,"Drama intenso sobre familia, lealtad y traición.",2021,7.2,11,195,True,True
ser_0014,Light  Mirror,"Drama intenso sobre familia, lealtad y traición.",1994,5.51,10,64,False,True
ser_0015,Beyond  Materials,Una saga familiar que recorre generaciones y secretos.,2024,5.47,9,122,True,False
ser_0016,Across Heist,Acción sin tregua en una aventura llena de giros inesperados.,2010,8.9,7,76,True,False
ser_0017,The Sympathizer lout,Una historia épica que cambia el destino de los protagonistas para siempre.,2023,9.13,4,18,False,False
ser_0018,Tokyo lock,Una historia épica que cambia el destino de los protagonistas para siempre.,2010,6.27,6,26,True,True
ser_0019,Only Murders the Dragon,Una mirada profunda a la condición humana en tiempos difíciles.,2005,4.95,5,22,True,True
ser_0020,True Detective Eve,Una saga familiar que recorre generaciones y secretos.,1991,8.62,6,70,True,True
ser_0021,Fargo Vision,Una historia épica que cambia el destino de los protagonistas para siempre.,2011,8.77,9,66,True,False
ser_0022,True lock,"En un mundo donde las reglas se rompen, surgen héroes inesperados.",1997,9.65,1,102,False,True
ser_0023,The Boys Heist,Una historia épica que cambia el destino de los protagonistas para siempre.,2018,5.75,11,116,True,True
ser_0024,Beyond Heist,Misterio y suspenso se entrelazan en esta serie cautivadora.,1993,8.93,7,30,False,True
ser_0025,Beyond of Cards,Romance que desafía las convenciones sociales de la época.,1990,6.23,7,164,True,True
ser_0026,Among  Materials,Investigación criminal que pone a prueba los límites de la justicia.,2019,5.9,4,33,True,True
ser_0027,Beyond the Dragon,Una saga familiar que recorre generaciones y secretos.,2002,4.73,9,71,False,False
ser_0028,True Detective of Cards,"Drama intenso sobre familia, lealtad y traición.",2018,5.41,1,21,True,True
